Date,Attendance,Team,City,League,Both Leagues
11/22/2016,42774,Seattle Sounders FC,Seattle,MLS,Yes
3/19/2017,45600,Seattle Sounders FC,Seattle,MLS,Yes
3/31/2017,40182,Seattle Sounders FC,Seattle,MLS,Yes
4/29/2017,43230,Seattle Sounders FC,Seattle,MLS,Yes
5/6/2017,41468,Seattle Sounders FC,Seattle,MLS,Yes
5/20/2017,40588,Seattle Sounders FC,Seattle,MLS,Yes
5/27/2017,47362,Seattle Sounders FC,Seattle,MLS,Yes
6/4/2017,40258,Seattle Sounders FC,Seattle,MLS,Yes
6/21/2017,42333,Seattle Sounders FC,Seattle,MLS,Yes
7/19/2017,42714,Seattle Sounders FC,Seattle,MLS,Yes
7/23/2017,43528,Seattle Sounders FC,Seattle,MLS,Yes
8/12/2017,43530,Seattle Sounders FC,Seattle,MLS,Yes
8/20/2017,40312,Seattle Sounders FC,Seattle,MLS,Yes
8/27/2017,51796,Seattle Sounders FC,Seattle,MLS,Yes
9/10/2017,44697,Seattle Sounders FC,Seattle,MLS,Yes
9/27/2017,41868,Seattle Sounders FC,Seattle,MLS,Yes
10/15/2017,48478,Seattle Sounders FC,Seattle,MLS,Yes
10/22/2017,44370,Seattle Sounders FC,Seattle,MLS,Yes
11/2/2017,39587,Seattle Sounders FC,Seattle,MLS,Yes
11/30/2017,45298,Seattle Sounders FC,Seattle,MLS,Yes
3/4/2018,40070,Seattle Sounders FC,Seattle,MLS,Yes
3/31/2018,39469,Seattle Sounders FC,Seattle,MLS,Yes
4/22/2018,39477,Seattle Sounders FC,Seattle,MLS,Yes
5/5/2018,39515,Seattle Sounders FC,Seattle,MLS,Yes
5/26/2018,39508,Seattle Sounders FC,Seattle,MLS,Yes
6/9/2018,39465,Seattle Sounders FC,Seattle,MLS,Yes
6/23/2018,39513,Seattle Sounders FC,Seattle,MLS,Yes
6/30/2018,47521,Seattle Sounders FC,Seattle,MLS,Yes
7/21/2018,41849,Seattle Sounders FC,Seattle,MLS,Yes
7/29/2018,39528,Seattle Sounders FC,Seattle,MLS,Yes
8/12/2018,39522,Seattle Sounders FC,Seattle,MLS,Yes
8/18/2018,44213,Seattle Sounders FC,Seattle,MLS,Yes
9/1/2018,39530,Seattle Sounders FC,Seattle,MLS,Yes
9/19/2018,39536,Seattle Sounders FC,Seattle,MLS,Yes
9/29/2018,40042,Seattle Sounders FC,Seattle,MLS,Yes
10/8/2018,39518,Seattle Sounders FC,Seattle,MLS,Yes
10/28/2018,42617,Seattle Sounders FC,Seattle,MLS,Yes
11/8/2018,39542,Seattle Sounders FC,Seattle,MLS,Yes
3/2/2019,39011,Seattle Sounders FC,Seattle,MLS,Yes
3/9/2019,37725,Seattle Sounders FC,Seattle,MLS,Yes
4/6/2019,37722,Seattle Sounders FC,Seattle,MLS,Yes
4/13/2019,37722,Seattle Sounders FC,Seattle,MLS,Yes
4/24/2019,37722,Seattle Sounders FC,Seattle,MLS,Yes
4/28/2019,38581,Seattle Sounders FC,Seattle,MLS,Yes
5/11/2019,39232,Seattle Sounders FC,Seattle,MLS,Yes
5/15/2019,37722,Seattle Sounders FC,Seattle,MLS,Yes
6/29/2019,44489,Seattle Sounders FC,Seattle,MLS,Yes
7/14/2019,38232,Seattle Sounders FC,Seattle,MLS,Yes
7/21/2019,50072,Seattle Sounders FC,Seattle,MLS,Yes
8/4/2019,37722,Seattle Sounders FC,Seattle,MLS,Yes
8/10/2019,38826,Seattle Sounders FC,Seattle,MLS,Yes
9/1/2019,46673,Seattle Sounders FC,Seattle,MLS,Yes
9/15/2019,37722,Seattle Sounders FC,Seattle,MLS,Yes
9/18/2019,37722,Seattle Sounders FC,Seattle,MLS,Yes
10/6/2019,47297,Seattle Sounders FC,Seattle,MLS,Yes
10/19/2019,37722,Seattle Sounders FC,Seattle,MLS,Yes
10/23/2019,37722,Seattle Sounders FC,Seattle,MLS,Yes
11/10/2019,69274,Seattle Sounders FC,Seattle,MLS,Yes
3/1/2020,40126,Seattle Sounders FC,Seattle,MLS,Yes
3/7/2020,33080,Seattle Sounders FC,Seattle,MLS,Yes
2/27/2022,30013,Seattle Sounders FC,Seattle,MLS,Yes
2/27/2022,30013,Seattle Sounders FC,Seattle,MLS,Yes
3/12/2022,33200,Seattle Sounders FC,Seattle,MLS,Yes
3/12/2022,33200,Seattle Sounders FC,Seattle,MLS,Yes
4/16/2022,32126,Seattle Sounders FC,Seattle,MLS,Yes
4/16/2022,32126,Seattle Sounders FC,Seattle,MLS,Yes
5/15/2022,32613,Seattle Sounders FC,Seattle,MLS,Yes
5/15/2022,32613,Seattle Sounders FC,Seattle,MLS,Yes
5/29/2022,32763,Seattle Sounders FC,Seattle,MLS,Yes
5/29/2022,32763,Seattle Sounders FC,Seattle,MLS,Yes
6/14/2022,31165,Seattle Sounders FC,Seattle,MLS,Yes
6/14/2022,31165,Seattle Sounders FC,Seattle,MLS,Yes
6/18/2022,34642,Seattle Sounders FC,Seattle,MLS,Yes
6/18/2022,34642,Seattle Sounders FC,Seattle,MLS,Yes
6/25/2022,33380,Seattle Sounders FC,Seattle,MLS,Yes
6/25/2022,33380,Seattle Sounders FC,Seattle,MLS,Yes
6/29/2022,32375,Seattle Sounders FC,Seattle,MLS,Yes
6/29/2022,32375,Seattle Sounders FC,Seattle,MLS,Yes
7/9/2022,47722,Seattle Sounders FC,Seattle,MLS,Yes
7/9/2022,47722,Seattle Sounders FC,Seattle,MLS,Yes
8/2/2022,32207,Seattle Sounders FC,Seattle,MLS,Yes
8/14/2022,33093,Seattle Sounders FC,Seattle,MLS,Yes
9/4/2022,33621,Seattle Sounders FC,Seattle,MLS,Yes
9/10/2022,34721,Seattle Sounders FC,Seattle,MLS,Yes
9/27/2022,31291,Seattle Sounders FC,Seattle,MLS,Yes
10/9/2022,33910,Seattle Sounders FC,Seattle,MLS,Yes
2/26/2023,30032,Seattle Sounders FC,Seattle,MLS,Yes
3/4/2023,30011,Seattle Sounders FC,Seattle,MLS,Yes
3/18/2023,32515,Seattle Sounders FC,Seattle,MLS,Yes
4/8/2023,31789,Seattle Sounders FC,Seattle,MLS,Yes
4/22/2023,30025,Seattle Sounders FC,Seattle,MLS,Yes
5/7/2023,31620,Seattle Sounders FC,Seattle,MLS,Yes
5/17/2023,30026,Seattle Sounders FC,Seattle,MLS,Yes
5/27/2023,31032,Seattle Sounders FC,Seattle,MLS,Yes
5/31/2023,30013,Seattle Sounders FC,Seattle,MLS,Yes
6/3/2023,42054,Seattle Sounders FC,Seattle,MLS,Yes
6/24/2023,30693,Seattle Sounders FC,Seattle,MLS,Yes
7/1/2023,31840,Seattle Sounders FC,Seattle,MLS,Yes
7/15/2023,32753,Seattle Sounders FC,Seattle,MLS,Yes
8/20/2023,31149,Seattle Sounders FC,Seattle,MLS,Yes
9/2/2023,37031,Seattle Sounders FC,Seattle,MLS,Yes
10/4/2023,30495,Seattle Sounders FC,Seattle,MLS,Yes
10/7/2023,33666,Seattle Sounders FC,Seattle,MLS,Yes
3/2/2024,30067,Seattle Sounders FC,Seattle,MLS,Yes
3/16/2024,30036,Seattle Sounders FC,Seattle,MLS,Yes
4/6/2024,30013,Seattle Sounders FC,Seattle,MLS,Yes
4/20/2024,30550,Seattle Sounders FC,Seattle,MLS,Yes
5/5/2024,31102,Seattle Sounders FC,Seattle,MLS,Yes
5/18/2024,30102,Seattle Sounders FC,Seattle,MLS,Yes
5/29/2024,29244,Seattle Sounders FC,Seattle,MLS,Yes
6/15/2024,31026,Seattle Sounders FC,Seattle,MLS,Yes
6/22/2024,30093,Seattle Sounders FC,Seattle,MLS,Yes
6/29/2024,30045,Seattle Sounders FC,Seattle,MLS,Yes
3/16/2013,19868,Sporting Kansas City,Kansas City,MLS,Yes
3/30/2013,18609,Sporting Kansas City,Kansas City,MLS,Yes
4/5/2013,18988,Sporting Kansas City,Kansas City,MLS,Yes
4/27/2013,20186,Sporting Kansas City,Kansas City,MLS,Yes
5/5/2013,18811,Sporting Kansas City,Kansas City,MLS,Yes
5/8/2013,18602,Sporting Kansas City,Kansas City,MLS,Yes
5/26/2013,20876,Sporting Kansas City,Kansas City,MLS,Yes
6/1/2013,19470,Sporting Kansas City,Kansas City,MLS,Yes
6/29/2013,20128,Sporting Kansas City,Kansas City,MLS,Yes
7/3/2013,20137,Sporting Kansas City,Kansas City,MLS,Yes
7/13/2013,21126,Sporting Kansas City,Kansas City,MLS,Yes
8/3/2013,21304,Sporting Kansas City,Kansas City,MLS,Yes
8/10/2013,19988,Sporting Kansas City,Kansas City,MLS,Yes
8/31/2013,19579,Sporting Kansas City,Kansas City,MLS,Yes
9/7/2013,19211,Sporting Kansas City,Kansas City,MLS,Yes
9/27/2013,19243,Sporting Kansas City,Kansas City,MLS,Yes
10/18/2013,18932,Sporting Kansas City,Kansas City,MLS,Yes
11/6/2013,19031,Sporting Kansas City,Kansas City,MLS,Yes
11/23/2013,21650,Sporting Kansas City,Kansas City,MLS,Yes
12/7/2013,21650,Sporting Kansas City,Kansas City,MLS,Yes
3/15/2014,19431,Sporting Kansas City,Kansas City,MLS,Yes
3/22/2014,19368,Sporting Kansas City,Kansas City,MLS,Yes
4/5/2014,19838,Sporting Kansas City,Kansas City,MLS,Yes
4/19/2014,20306,Sporting Kansas City,Kansas City,MLS,Yes
5/4/2014,20565,Sporting Kansas City,Kansas City,MLS,Yes
5/14/2014,19073,Sporting Kansas City,Kansas City,MLS,Yes
5/23/2014,19914,Sporting Kansas City,Kansas City,MLS,Yes
5/27/2014,19221,Sporting Kansas City,Kansas City,MLS,Yes
7/6/2014,20858,Sporting Kansas City,Kansas City,MLS,Yes
7/19/2014,21493,Sporting Kansas City,Kansas City,MLS,Yes
8/1/2014,21318,Sporting Kansas City,Kansas City,MLS,Yes
8/16/2014,20730,Sporting Kansas City,Kansas City,MLS,Yes
8/23/2014,19963,Sporting Kansas City,Kansas City,MLS,Yes
8/29/2014,20332,Sporting Kansas City,Kansas City,MLS,Yes
9/26/2014,19522,Sporting Kansas City,Kansas City,MLS,Yes
10/10/2014,18938,Sporting Kansas City,Kansas City,MLS,Yes
10/26/2014,19188,Sporting Kansas City,Kansas City,MLS,Yes
3/8/2015,19784,Sporting Kansas City,Kansas City,MLS,Yes
3/21/2015,20848,Sporting Kansas City,Kansas City,MLS,Yes
4/5/2015,19545,Sporting Kansas City,Kansas City,MLS,Yes
4/11/2015,20087,Sporting Kansas City,Kansas City,MLS,Yes
5/3/2015,19581,Sporting Kansas City,Kansas City,MLS,Yes
5/20/2015,18864,Sporting Kansas City,Kansas City,MLS,Yes
5/29/2015,20172,Sporting Kansas City,Kansas City,MLS,Yes
6/6/2015,21505,Sporting Kansas City,Kansas City,MLS,Yes
6/27/2015,19835,Sporting Kansas City,Kansas City,MLS,Yes
7/18/2015,19070,Sporting Kansas City,Kansas City,MLS,Yes
8/1/2015,19882,Sporting Kansas City,Kansas City,MLS,Yes
8/15/2015,19969,Sporting Kansas City,Kansas City,MLS,Yes
8/19/2015,18866,Sporting Kansas City,Kansas City,MLS,Yes
9/18/2015,18861,Sporting Kansas City,Kansas City,MLS,Yes
9/27/2015,19496,Sporting Kansas City,Kansas City,MLS,Yes
10/21/2015,18897,Sporting Kansas City,Kansas City,MLS,Yes
10/25/2015,19422,Sporting Kansas City,Kansas City,MLS,Yes
3/12/2016,20178,Sporting Kansas City,Kansas City,MLS,Yes
3/20/2016,19867,Sporting Kansas City,Kansas City,MLS,Yes
4/2/2016,20553,Sporting Kansas City,Kansas City,MLS,Yes
4/13/2016,19168,Sporting Kansas City,Kansas City,MLS,Yes
5/1/2016,19431,Sporting Kansas City,Kansas City,MLS,Yes
5/15/2016,19080,Sporting Kansas City,Kansas City,MLS,Yes
5/21/2016,20618,Sporting Kansas City,Kansas City,MLS,Yes
5/27/2016,19118,Sporting Kansas City,Kansas City,MLS,Yes
6/19/2016,18927,Sporting Kansas City,Kansas City,MLS,Yes
7/3/2016,19332,Sporting Kansas City,Kansas City,MLS,Yes
7/10/2016,19881,Sporting Kansas City,Kansas City,MLS,Yes
7/24/2016,18563,Sporting Kansas City,Kansas City,MLS,Yes
7/31/2016,19098,Sporting Kansas City,Kansas City,MLS,Yes
8/20/2016,20159,Sporting Kansas City,Kansas City,MLS,Yes
9/9/2016,19331,Sporting Kansas City,Kansas City,MLS,Yes
9/18/2016,19480,Sporting Kansas City,Kansas City,MLS,Yes
10/23/2016,20371,Sporting Kansas City,Kansas City,MLS,Yes
3/11/2017,19117,Sporting Kansas City,Kansas City,MLS,Yes
3/18/2017,19282,Sporting Kansas City,Kansas City,MLS,Yes
4/9/2017,19249,Sporting Kansas City,Kansas City,MLS,Yes
4/29/2017,18648,Sporting Kansas City,Kansas City,MLS,Yes
5/3/2017,18965,Sporting Kansas City,Kansas City,MLS,Yes
5/17/2017,20139,Sporting Kansas City,Kansas City,MLS,Yes
6/3/2017,20361,Sporting Kansas City,Kansas City,MLS,Yes
6/10/2017,20334,Sporting Kansas City,Kansas City,MLS,Yes
7/1/2017,20933,Sporting Kansas City,Kansas City,MLS,Yes
7/6/2017,19240,Sporting Kansas City,Kansas City,MLS,Yes
7/29/2017,20313,Sporting Kansas City,Kansas City,MLS,Yes
8/6/2017,19481,Sporting Kansas City,Kansas City,MLS,Yes
8/19/2017,19869,Sporting Kansas City,Kansas City,MLS,Yes
9/16/2017,19089,Sporting Kansas City,Kansas City,MLS,Yes
9/24/2017,19028,Sporting Kansas City,Kansas City,MLS,Yes
9/30/2017,18990,Sporting Kansas City,Kansas City,MLS,Yes
10/15/2017,19083,Sporting Kansas City,Kansas City,MLS,Yes
3/4/2018,20831,Sporting Kansas City,Kansas City,MLS,Yes
3/17/2018,18868,Sporting Kansas City,Kansas City,MLS,Yes
3/31/2018,18624,Sporting Kansas City,Kansas City,MLS,Yes
4/15/2018,18508,Sporting Kansas City,Kansas City,MLS,Yes
4/20/2018,19690,Sporting Kansas City,Kansas City,MLS,Yes
5/5/2018,20553,Sporting Kansas City,Kansas City,MLS,Yes
5/27/2018,20697,Sporting Kansas City,Kansas City,MLS,Yes
6/3/2018,20422,Sporting Kansas City,Kansas City,MLS,Yes
6/23/2018,20081,Sporting Kansas City,Kansas City,MLS,Yes
7/7/2018,21064,Sporting Kansas City,Kansas City,MLS,Yes
7/28/2018,20758,Sporting Kansas City,Kansas City,MLS,Yes
8/18/2018,19737,Sporting Kansas City,Kansas City,MLS,Yes
8/25/2018,19345,Sporting Kansas City,Kansas City,MLS,Yes
9/8/2018,19332,Sporting Kansas City,Kansas City,MLS,Yes
9/30/2018,19844,Sporting Kansas City,Kansas City,MLS,Yes
10/6/2018,20092,Sporting Kansas City,Kansas City,MLS,Yes
10/28/2018,20702,Sporting Kansas City,Kansas City,MLS,Yes
11/11/2018,19918,Sporting Kansas City,Kansas City,MLS,Yes
11/29/2018,20091,Sporting Kansas City,Kansas City,MLS,Yes
3/10/2019,18738,Sporting Kansas City,Kansas City,MLS,Yes
3/30/2019,18632,Sporting Kansas City,Kansas City,MLS,Yes
4/14/2019,17897,Sporting Kansas City,Kansas City,MLS,Yes
4/27/2019,18511,Sporting Kansas City,Kansas City,MLS,Yes
5/5/2019,18518,Sporting Kansas City,Kansas City,MLS,Yes
5/18/2019,18691,Sporting Kansas City,Kansas City,MLS,Yes
5/26/2019,19882,Sporting Kansas City,Kansas City,MLS,Yes
5/29/2019,19979,Sporting Kansas City,Kansas City,MLS,Yes
7/3/2019,19754,Sporting Kansas City,Kansas City,MLS,Yes
7/6/2019,18570,Sporting Kansas City,Kansas City,MLS,Yes
7/20/2019,18736,Sporting Kansas City,Kansas City,MLS,Yes
8/10/2019,18219,Sporting Kansas City,Kansas City,MLS,Yes
8/17/2019,17941,Sporting Kansas City,Kansas City,MLS,Yes
8/22/2019,17083,Sporting Kansas City,Kansas City,MLS,Yes
8/31/2019,18917,Sporting Kansas City,Kansas City,MLS,Yes
9/21/2019,18862,Sporting Kansas City,Kansas City,MLS,Yes
9/29/2019,17281,Sporting Kansas City,Kansas City,MLS,Yes
3/5/2022,18872,Sporting Kansas City,Kansas City,MLS,Yes
3/26/2022,19107,Sporting Kansas City,Kansas City,MLS,Yes
4/9/2022,18852,Sporting Kansas City,Kansas City,MLS,Yes
4/23/2022,18483,Sporting Kansas City,Kansas City,MLS,Yes
4/30/2022,17334,Sporting Kansas City,Kansas City,MLS,Yes
5/18/2022,17233,Sporting Kansas City,Kansas City,MLS,Yes
5/28/2022,19206,Sporting Kansas City,Kansas City,MLS,Yes
7/3/2022,19065,Sporting Kansas City,Kansas City,MLS,Yes
7/23/2022,20142,Sporting Kansas City,Kansas City,MLS,Yes
7/30/2022,17287,Sporting Kansas City,Kansas City,MLS,Yes
8/6/2022,18101,Sporting Kansas City,Kansas City,MLS,Yes
8/21/2022,17348,Sporting Kansas City,Kansas City,MLS,Yes
8/27/2022,18241,Sporting Kansas City,Kansas City,MLS,Yes
9/13/2022,15106,Sporting Kansas City,Kansas City,MLS,Yes
9/17/2022,19680,Sporting Kansas City,Kansas City,MLS,Yes
10/2/2022,19439,Sporting Kansas City,Kansas City,MLS,Yes
3/11/2023,18612,Sporting Kansas City,Kansas City,MLS,Yes
3/11/2023,18612,Sporting Kansas City,Kansas City,MLS,Yes
3/25/2023,18629,Sporting Kansas City,Kansas City,MLS,Yes
3/25/2023,18629,Sporting Kansas City,Kansas City,MLS,Yes
4/8/2023,18467,Sporting Kansas City,Kansas City,MLS,Yes
4/8/2023,18467,Sporting Kansas City,Kansas City,MLS,Yes
4/29/2023,18226,Sporting Kansas City,Kansas City,MLS,Yes
4/29/2023,18226,Sporting Kansas City,Kansas City,MLS,Yes
5/13/2023,17851,Sporting Kansas City,Kansas City,MLS,Yes
5/13/2023,17851,Sporting Kansas City,Kansas City,MLS,Yes
5/28/2023,18514,Sporting Kansas City,Kansas City,MLS,Yes
5/28/2023,18514,Sporting Kansas City,Kansas City,MLS,Yes
5/31/2023,17178,Sporting Kansas City,Kansas City,MLS,Yes
5/31/2023,17178,Sporting Kansas City,Kansas City,MLS,Yes
6/10/2023,18885,Sporting Kansas City,Kansas City,MLS,Yes
6/10/2023,18885,Sporting Kansas City,Kansas City,MLS,Yes
6/17/2023,19410,Sporting Kansas City,Kansas City,MLS,Yes
6/24/2023,18032,Sporting Kansas City,Kansas City,MLS,Yes
6/24/2023,18032,Sporting Kansas City,Kansas City,MLS,Yes
7/1/2023,18867,Sporting Kansas City,Kansas City,MLS,Yes
7/1/2023,18867,Sporting Kansas City,Kansas City,MLS,Yes
7/12/2023,17924,Sporting Kansas City,Kansas City,MLS,Yes
7/12/2023,17924,Sporting Kansas City,Kansas City,MLS,Yes
8/26/2023,18892,Sporting Kansas City,Kansas City,MLS,Yes
8/26/2023,18892,Sporting Kansas City,Kansas City,MLS,Yes
9/2/2023,21650,Sporting Kansas City,Kansas City,MLS,Yes
9/2/2023,21650,Sporting Kansas City,Kansas City,MLS,Yes
9/20/2023,16825,Sporting Kansas City,Kansas City,MLS,Yes
9/20/2023,16825,Sporting Kansas City,Kansas City,MLS,Yes
9/23/2023,18033,Sporting Kansas City,Kansas City,MLS,Yes
9/23/2023,18033,Sporting Kansas City,Kansas City,MLS,Yes
10/21/2023,20479,Sporting Kansas City,Kansas City,MLS,Yes
10/21/2023,20479,Sporting Kansas City,Kansas City,MLS,Yes
3/2/2024,19942,Sporting Kansas City,Kansas City,MLS,Yes
3/2/2024,19942,Sporting Kansas City,Kansas City,MLS,Yes
3/16/2024,18219,Sporting Kansas City,Kansas City,MLS,Yes
3/16/2024,18219,Sporting Kansas City,Kansas City,MLS,Yes
3/23/2024,18102,Sporting Kansas City,Kansas City,MLS,Yes
3/23/2024,18102,Sporting Kansas City,Kansas City,MLS,Yes
4/7/2024,17424,Sporting Kansas City,Kansas City,MLS,Yes
4/7/2024,17424,Sporting Kansas City,Kansas City,MLS,Yes
4/13/2024,72610,Sporting Kansas City,Kansas City,MLS,Yes
4/13/2024,72610,Sporting Kansas City,Kansas City,MLS,Yes
4/20/2024,19637,Sporting Kansas City,Kansas City,MLS,Yes
4/20/2024,19637,Sporting Kansas City,Kansas City,MLS,Yes
5/11/2024,18562,Sporting Kansas City,Kansas City,MLS,Yes
5/11/2024,18562,Sporting Kansas City,Kansas City,MLS,Yes
5/29/2024,17046,Sporting Kansas City,Kansas City,MLS,Yes
5/29/2024,17046,Sporting Kansas City,Kansas City,MLS,Yes
6/8/2024,18177,Sporting Kansas City,Kansas City,MLS,Yes
6/8/2024,18177,Sporting Kansas City,Kansas City,MLS,Yes
6/19/2024,16414,Sporting Kansas City,Kansas City,MLS,Yes
6/19/2024,16414,Sporting Kansas City,Kansas City,MLS,Yes
6/29/2024,18722,Sporting Kansas City,Kansas City,MLS,Yes
6/29/2024,18722,Sporting Kansas City,Kansas City,MLS,Yes
3/9/2013,25991,Toronto FC,Toronto,MLS,
3/30/2013,18355,Toronto FC,Toronto,MLS,
4/6/2013,16111,Toronto FC,Toronto,MLS,
4/20/2013,15973,Toronto FC,Toronto,MLS,
4/27/2013,20009,Toronto FC,Toronto,MLS,
5/18/2013,18278,Toronto FC,Toronto,MLS,
6/1/2013,19221,Toronto FC,Toronto,MLS,
6/29/2013,20841,Toronto FC,Toronto,MLS,
7/3/2013,21700,Toronto FC,Toronto,MLS,
7/20/2013,19444,Toronto FC,Toronto,MLS,
7/27/2013,17987,Toronto FC,Toronto,MLS,
8/10/2013,18766,Toronto FC,Toronto,MLS,
8/30/2013,18623,Toronto FC,Toronto,MLS,
9/11/2013,15217,Toronto FC,Toronto,MLS,
9/21/2013,12627,Toronto FC,Toronto,MLS,
9/28/2013,15879,Toronto FC,Toronto,MLS,
10/26/2013,13211,Toronto FC,Toronto,MLS,
3/22/2014,22591,Toronto FC,Toronto,MLS,
4/12/2014,22591,Toronto FC,Toronto,MLS,
5/3/2014,22591,Toronto FC,Toronto,MLS,
5/17/2014,22591,Toronto FC,Toronto,MLS,
5/31/2014,22591,Toronto FC,Toronto,MLS,
6/7/2014,22591,Toronto FC,Toronto,MLS,
7/5/2014,22591,Toronto FC,Toronto,MLS,
7/12/2014,22591,Toronto FC,Toronto,MLS,
7/16/2014,22591,Toronto FC,Toronto,MLS,
7/26/2014,22591,Toronto FC,Toronto,MLS,
8/23/2014,22591,Toronto FC,Toronto,MLS,
8/30/2014,22591,Toronto FC,Toronto,MLS,
9/6/2014,22591,Toronto FC,Toronto,MLS,
9/21/2014,22591,Toronto FC,Toronto,MLS,
9/27/2014,22591,Toronto FC,Toronto,MLS,
10/8/2014,18269,Toronto FC,Toronto,MLS,
10/18/2014,18329,Toronto FC,Toronto,MLS,
5/10/2015,30226,Toronto FC,Toronto,MLS,
5/23/2015,23569,Toronto FC,Toronto,MLS,
5/30/2015,17711,Toronto FC,Toronto,MLS,
6/20/2015,30029,Toronto FC,Toronto,MLS,
6/24/2015,24895,Toronto FC,Toronto,MLS,
6/27/2015,16382,Toronto FC,Toronto,MLS,
7/18/2015,25032,Toronto FC,Toronto,MLS,
8/5/2015,26648,Toronto FC,Toronto,MLS,
8/8/2015,24000,Toronto FC,Toronto,MLS,
8/22/2015,26397,Toronto FC,Toronto,MLS,
8/29/2015,30266,Toronto FC,Toronto,MLS,
9/13/2015,20257,Toronto FC,Toronto,MLS,
9/19/2015,19692,Toronto FC,Toronto,MLS,
9/26/2015,22513,Toronto FC,Toronto,MLS,
10/3/2015,18332,Toronto FC,Toronto,MLS,
10/14/2015,18143,Toronto FC,Toronto,MLS,
10/17/2015,24253,Toronto FC,Toronto,MLS,
5/7/2016,30025,Toronto FC,Toronto,MLS,
5/14/2016,24748,Toronto FC,Toronto,MLS,
5/18/2016,30262,Toronto FC,Toronto,MLS,
5/21/2016,26252,Toronto FC,Toronto,MLS,
6/18/2016,30025,Toronto FC,Toronto,MLS,
7/2/2016,26750,Toronto FC,Toronto,MLS,
7/9/2016,27934,Toronto FC,Toronto,MLS,
7/23/2016,26349,Toronto FC,Toronto,MLS,
7/31/2016,23979,Toronto FC,Toronto,MLS,
8/3/2016,27859,Toronto FC,Toronto,MLS,
8/6/2016,27495,Toronto FC,Toronto,MLS,
8/27/2016,28454,Toronto FC,Toronto,MLS,
9/18/2016,24078,Toronto FC,Toronto,MLS,
9/24/2016,26455,Toronto FC,Toronto,MLS,
9/28/2016,23805,Toronto FC,Toronto,MLS,
10/1/2016,22212,Toronto FC,Toronto,MLS,
10/23/2016,25235,Toronto FC,Toronto,MLS,
3/31/2017,27909,Toronto FC,Toronto,MLS,
4/8/2017,26812,Toronto FC,Toronto,MLS,
4/21/2017,27097,Toronto FC,Toronto,MLS,
4/28/2017,25358,Toronto FC,Toronto,MLS,
5/3/2017,25200,Toronto FC,Toronto,MLS,
5/13/2017,27249,Toronto FC,Toronto,MLS,
5/26/2017,25376,Toronto FC,Toronto,MLS,
6/17/2017,28627,Toronto FC,Toronto,MLS,
6/23/2017,27261,Toronto FC,Toronto,MLS,
7/22/2017,28060,Toronto FC,Toronto,MLS,
7/30/2017,29203,Toronto FC,Toronto,MLS,
8/12/2017,28415,Toronto FC,Toronto,MLS,
8/23/2017,28645,Toronto FC,Toronto,MLS,
9/9/2017,29050,Toronto FC,Toronto,MLS,
9/20/2017,28898,Toronto FC,Toronto,MLS,
9/30/2017,28979,Toronto FC,Toronto,MLS,
10/15/2017,27866,Toronto FC,Toronto,MLS,
3/3/2018,26633,Toronto FC,Toronto,MLS,
3/30/2018,28006,Toronto FC,Toronto,MLS,
4/28/2018,26331,Toronto FC,Toronto,MLS,
5/4/2018,24728,Toronto FC,Toronto,MLS,
5/9/2018,26089,Toronto FC,Toronto,MLS,
5/18/2018,28009,Toronto FC,Toronto,MLS,
5/25/2018,27549,Toronto FC,Toronto,MLS,
6/13/2018,23011,Toronto FC,Toronto,MLS,
7/1/2018,26363,Toronto FC,Toronto,MLS,
7/28/2018,29190,Toronto FC,Toronto,MLS,
8/12/2018,27935,Toronto FC,Toronto,MLS,
8/25/2018,27294,Toronto FC,Toronto,MLS,
9/1/2018,28247,Toronto FC,Toronto,MLS,
9/15/2018,30799,Toronto FC,Toronto,MLS,
9/29/2018,24710,Toronto FC,Toronto,MLS,
10/6/2018,23886,Toronto FC,Toronto,MLS,
10/28/2018,23895,Toronto FC,Toronto,MLS,
3/17/2019,23271,Toronto FC,Toronto,MLS,
3/29/2019,25447,Toronto FC,Toronto,MLS,
4/6/2019,26256,Toronto FC,Toronto,MLS,
4/19/2019,22651,Toronto FC,Toronto,MLS,
4/27/2019,24832,Toronto FC,Toronto,MLS,
5/11/2019,26219,Toronto FC,Toronto,MLS,
5/15/2019,26116,Toronto FC,Toronto,MLS,
5/26/2019,23524,Toronto FC,Toronto,MLS,
6/7/2019,24748,Toronto FC,Toronto,MLS,
6/26/2019,24598,Toronto FC,Toronto,MLS,
7/17/2019,24462,Toronto FC,Toronto,MLS,
7/20/2019,25949,Toronto FC,Toronto,MLS,
7/27/2019,25765,Toronto FC,Toronto,MLS,
8/10/2019,24487,Toronto FC,Toronto,MLS,
8/24/2019,28989,Toronto FC,Toronto,MLS,
9/15/2019,24810,Toronto FC,Toronto,MLS,
10/6/2019,23692,Toronto FC,Toronto,MLS,
4/14/2018,19203,Utah Royals FC,Salt Lake City,NWSL,Yes
4/28/2018,8446,Utah Royals FC,Salt Lake City,NWSL,Yes
5/5/2018,7551,Utah Royals FC,Salt Lake City,NWSL,Yes
5/9/2018,7137,Utah Royals FC,Salt Lake City,NWSL,Yes
5/19/2018,8323,Utah Royals FC,Salt Lake City,NWSL,Yes
6/27/2018,8504,Utah Royals FC,Salt Lake City,NWSL,Yes
6/30/2018,8394,Utah Royals FC,Salt Lake City,NWSL,Yes
7/14/2018,8761,Utah Royals FC,Salt Lake City,NWSL,Yes
